,Plus
29,
52,
75,
101,
102,
110,
120,
131,根本匠、平井卓也、金子恭之各衆院議員、宮沢洋一参院議員同席
174,
299,
308,
396,林、森屋正副官房長官同席
403,
707,林官房長官同席
746,
832,
839,
947,
972,
990,
1150,
1164,
1332,
1365,
1375,
1395,
1405,
1435,
1443,
1505,
1565,
1580,盛山文科相、村井副長官同席
1581,
1699,
1742,
1870,
1963,
1985,
2109,
2122,
2132,
2141,
2166,
2177,
2184,
2194,
2248,
2296,
2323,
2357,
2363,
2378,
2410,
2440,
2456,木原副長官同席
2481,
2498,
2504,松野官房長官同席
2509,
2513,
2529,
2572,木原官房副長官、上山隆大総合科学技術・イノベーション会議議員、松尾内閣府科学技術・イノベーション推進事務局長同席
2583,
2602,
2608,
2635,
2665,松野、栗生正副官房長官同席
2675,
2683,
2720,
2730,
2740,
2749,
2786,
2887,松野、磯崎正副官房長官同席
2908,
2976,
2977,
2995,
3001,
3014,
3055,
3061,
3085,
3099,
3104,
3119,
3164,
3190,
3200,
3224,
3229,
3263,
3303,
3323,
3340,
3350,
3360,
3400,
3408,松野官房長官同席
3437,
3452,
3475,
3476,
3507,
3520,
3537,
3546,松野官房長官同席
3564,
3588,
3599,
3608,
3616,
3620,
3629,
3691,
3694,
3719,
3738,
3745,
3752,
3812,
3862,
3896,
3905,
3916,松野、磯崎正副官房長官同席
3927,
3941,
3953,
3959,
4013,
4023,
4033,
4091,
4106,
4112,
4119,
4135,
4139,
4142,
4209,
4216,
4230,松野官房長官同席
4246,根本岸田派事務総長同席
4251,
4258,松野、磯崎正副官房長官同席
4325,
4340,
4345,
4356,
4364,
4390,
4402,
4435,
4463,金田勝年、宮下一郎両衆院議員同席
4533,
4541,
4545,
4551,
4567,
4575,
4585,
4610,
4749,
4791,
4801,寺田補佐官、海部外務省軍縮不拡散・科学部長同席
4817,
4821,
4826,
4843,
4847,
4851,
4910,
4937,
4959,
5023,
5070,
5090,松野官房長官同席
5106,
5112,松野、磯崎正副官房長官同席
5118,
5127,
5133,
5145,寺田補佐官、海部外務省軍縮不拡散・科学部長同席
5163,
5174,
5185,
5205,
5247,
5322,
5347,
5353,
5363,
5383,
5388,
5394,
5405,寺田補佐官、海部外務省軍縮不拡散・科学部長同席
5425,
5506,寺田補佐官同席
5517,
5549,
5564,
5578,官房長官同席
5612,
5618,
5628,
5632,
5637,
5648,
5659,
5687,
5692,
5693,山際経財相、田和内閣府次官同席
5701,
5706,
5712,
5723,
5757,
5776,
6103,
6126,
6214,
6228,
6280,
6282,
6292,
6305,
6313,
6322,
6343,
6362,
6369,
6398,
6416,
6419,
6423,
6440,
6447,
6459,
6469,
6573,
6579,
6602,
6611,
6618,
6630,
6653,
6662,
6702,
6726,
6740,
6783,
6806,
6850,
