Dates,Dates,The_positive_cases
2020-01-31,2020-01-,3
2020-02-29,2020-02-,34
2020-03-31,2020-03-,489
2020-04-30,2020-04-,3748
2020-05-31,2020-05-,957
2020-06-30,2020-06-,994
2020-07-31,2020-07-,6464
2020-08-31,2020-08-,8125
2020-09-30,2020-09-,4918
2020-10-31,2020-10-,5350
2020-11-30,2020-11-,9861
2020-12-31,2020-12-,19369
2021-01-31,2021-01-,40367
2021-02-28,2021-02-,10997
2021-03-31,2021-03-,9310
2021-04-30,2021-04-,18075
2021-05-31,2021-05-,21871
2021-06-30,2021-06-,12977
2021-07-31,2021-07-,44448
2021-08-31,2021-08-,129193
2021-09-30,2021-09-,31929
2021-10-31,2021-10-,2134
2021-11-30,2021-11-,542
2021-12-31,2021-12-,905
2022-01-31,2022-01-,194563
2022-02-28,2022-02-,416171
2022-03-31,2022-03-,256738
2022-04-30,2022-04-,188021
2022-05-31,2022-05-,101664
2022-06-30,2022-06-,58556
2022-07-31,2022-07-,567728
2022-08-31,2022-08-,757621
2022-09-30,2022-09-,244023
2022-10-31,2022-10-,100143
2022-11-30,2022-11-,257031
2022-12-31,2022-12-,462603
2023-01-31,2023-01-,279887
2023-02-28,2023-02-,47190
2023-03-31,2023-03-,23072
2023-04-30,2023-04-,36567
2023-05-31,2023-05-,12266
